id,功能模块名称,功能模块描述
D1-F2-4,RCTA/RCTB-后方穿行辅助,系统检测目标区域移动的目标，对于可能造成碰撞风险的情况，提供报警以及制动控制。主要应对倒车场景下视野盲区的移动目标做提醒或者制动。场景包括停车位与后方道路垂直、有角度以及后方道路弯曲。碰撞风险较高时，RCTB系统将请求制动系统制动，制动系统考虑紧急程度再细分为轻刹和重刹。碰撞风险较低时，RCTA系统将发出声光报警（显示报警图标并区分左右来向或者蜂鸣器蜂鸣）。系统检测目标包括机动车辆、非机动车辆、行人及其他移动的可能危及交通安全的对象，包括但不限于目标的运动状态、形状、可信度、速度、距离等信息。
D1-F2-4-1,RCTA后方穿行辅助,系统识别自车与目标物的轨迹是否有交错、自车与目标物的碰撞时间、目标物到自车中轴线的距离和目标物速度，当碰撞风险较低时，RCTA系统将发出报警。
D1-F2-4-2,RCTB-后方穿行制动,"系统检测目标区域移动的目标，对于可能造成碰撞风险的情况，提供报警以及制动控制。主要应对倒车场景下视野盲区的移动目标做提醒或者制动。场景包括停车位与后方道路垂直、有角度以及后方道路弯曲。碰撞风险较高时，RCTB系统将请求制动系统制动，制动系统考虑紧急程度再细分为轻刹和重刹。碰撞风险较低时，RCTA系统将发出声光报警（显示报警图标并区分左右来向或者蜂鸣器蜂鸣）。系统检测目标包括机动车辆、非机动车辆、行人及其他移动的可能危及交通安全的对象，包括但不限于目标的运动状态、形状、可信度、速度、距离等信息。具体指标参考ISO法规。
典型场景：
1、刹停保持：系统将车辆刹停后，应能使车辆保持静止至少2s不会溜车，且在坡道上（JTG B01）不会后溜。
2、多目标检测：当系统检测到多个来向目标时，系统需要做好优先级仲裁，不能有冲突。"""
D1-F2-5,LKA-车道保持辅助,"1、车辆行驶在直道上，向左或向右有冲出本车道的趋势，系统通过EPS系统主动施加转向，纠正车辆行为，使车辆保持在本车道内
2、车辆行驶在弯道上，向外弯或向内弯有冲出本车道的趋势，系统通过EPS系统主动施加转向，纠正车辆行为，使车辆保持在本车道内
3、车辆行驶在弯道上，向非最外侧内弯车道有冲出本车道的趋势，系统不进行辅助纠偏
4、当道路两边只有一侧有车道线，则偏离有车道线的一侧需要纠偏辅助，另一侧不做辅助
性能指标：
1.车速范围：60~150km/h
2.系统应能探测路沿或道路的边界（如路肩或未铺路区域）
3.可识别车道宽度： 2.5m～4.5m
4.可识别车道标记线虚实线：实线、虚线、双实线、双虚线、虚实结合
5.可识别车道标记线颜色：白色、黄色
6.可识别车道标记线宽度：8cm/10cm （农村公路）、15cm/20cm（国道或高速上的白色标线）、40cm～60cm（快速路或高速公路上的宽白线）
7.系统干预过程中施加力矩小于3Nm，导致的车辆侧向加速度≤3m/s²，车辆侧向加速度导数≤5m/s³
8.直道行驶时，内侧允许偏离车道线外的距离在20cm以内；弯道行驶时，内侧允许偏离车道线外的距离在30cm以内
9.支持弯道半径>250m
抑制条件：
1.车辆压内侧弯道时，系统不响应，包括报警与干预都不动作
2.驾驶员打转向灯时功能抑制
3.驾驶员踩下制动踏板，油门踏板，方向盘转动功能抑制"""
D1-F2-6,HMA-智能大灯,"系统根据感知的目标物结果实现远近光灯功能，可以在对方来车或前方有车时自动切换远近光，并且系统不应该对道路交通标识（路边、高处）或其他物体的反光起作用。
开启条件：
1.自动头灯打开、HMI显示HMA设置开启，HMA可以通过中控软开关或者硬开关关闭或者开启 HMA 功能。
2.在点火周期内保持上次记录设置状态。
远光灯抑制条件：
1.远光灯控制功能探测到能引起本车驾驶员眩目的情景（因雨、雪、雾等反光），不开启远光灯；
2.远光灯控制功能激活后，若环境条件不满足要求或者摄像头视野被遮挡时，不开启远光灯；
3.远光灯控制功能激活后，若自车前雾灯、后雾灯开启时，不开启远光灯；
4.远光灯控制功能激活后，若雨刮状态为高速，不开启远光灯；
5.远光灯控制功能激活后，自车行驶在隧道中时，不开启远光灯。"
D1-F2-7,ELK-紧急车道保持,人驾模式下，在可标定车速范围内自车行驶时，实时监测车辆与车道线、路沿、侧方车辆的相对位置，在必要情况下介入车辆横向运动控制，使车辆保持在原车道内行驶。
D1-F2-8,L-AEB低速自动紧急制动,当自车低速行驶，速度范围1~10km/h（下限可标定）时系统可工作。根据传感器探测到的障碍物距离信息，结合当前车辆方向盘转角、车速、档位信息，实时判断当前车辆行驶是否与障碍物将有碰撞风险。若有碰撞风险，则 LAEB 系统立即向制动系统发出制动请求和目标减速度， 由制动系统刹停车辆并同时提醒驾驶员，从而避免碰撞或者减轻碰撞。
D1-F2-9,ESA-紧急转向辅助,系统实时监测车辆前方、侧方及侧后方行驶环境， 在一定的车速范围内，如果系统检测可能发生碰撞危险，而自车无法通过激活AEB来避免正向碰撞，同时系统判断相邻车道有可汇入的空间，在驾驶员有转向操作时辅助驾驶员紧急转向，以避免碰撞或减轻碰撞后果。
D1-F2-10,eAES-自动紧急转向,系统实时监测车辆前方、侧方及侧后方行驶环境， 在一定的车速范围内，如果系统检测可能发生碰撞危险，而自车无法通过激活AEB来避免正向碰撞，同时系统判断相邻车道有可汇入的空间，系统自动紧急转向，以避免碰撞或减轻碰撞后果。
D1-F2-11,误踩油门防撞,自车起步（D档或R档）或行车场景过程中，若驾驶员深踩油门（开度超过80%，具体根据场景待标定），且与行驶方向目标存在碰撞风险，则通过限制驾驶员需求驱动扭矩降低碰撞风险，同时施加HMI告警，必要时施加AEB制动（设置界面新增功能开关，可关闭）。目标包括车辆，VRU，通用障碍物。自车车速范围：0 ~ 150km/h
D1-F2-12,LOCP-侧向障碍物防碰撞,当车道内存在锥桶、水马、车辆等有碰撞风险时，车辆可以主动转向，避免或减缓与障碍物碰撞后果；对自行车、电动车和车辆等横穿、斜穿的场景，支持跨车道主动转向避让；
D1-F2-13,GAEB-通用障碍物AEB,人驾中系统功能适用范围内，在FCW发出报警后，当危险程度增加，而驾驶员没有采取措施或采取措施后仍存在碰撞风险，系统将自动刹车，避免碰撞或减轻碰撞伤害。识别目标是除机动车、行人和二轮车以外的其它异形障碍物。异形障碍物大小30*30cm以上；
D1-F2-14,路面自适应AEB,针对雨雪、环氧地坪等不同湿滑路面，采用不同的制动减速度刹停车辆，预防车辆失控；
D1-F3-1,ACC-基本功能,"在前方无车辆或者前方车辆状态对本车车速控制无影响时，系统可对车辆的纵向加减速进行控制，保持驾驶员设定的车速行驶保持设定的巡航速度或者跟车时距，横向由驾驶员进行控制。
典型场景：
1.驾驶员可通过物理开关激活和退出功能，增加/减少设定车速，增加/减少与前车的跟车时距
2.可支持在HMI显示系统的状态，包括关闭，可激活，激活中，激活成功，激活失败
3.可支持在HMI显示驾驶员设定的速度阈值，距离阈值，前车和左右车道线的信息
4.ACC系统应在关联子系统，以及任何部件（控制器，传感器）发生故障时，使用状态指示灯并警告驾驶员
5.系统具有override交互状态：当驾驶员踩下油门踏板时，系统会在驾驶员加速汽车时暂时脱离，当驾驶员人踩的油门踏板大于ACC计算的踏板值超过一定阀值（可标定）并持续一定时间（可标定）后，系统会判定驾驶员干预Override状态，此时HMI应提示系统已暂时被驾驶员override；一旦驾驶员不再踩下加速器，系统将以先前设定的速度重新介入。
6.当驾驶员踩下制动踏板时，系统退出
性能指标：
1.系统在 0~130km/h时工作 
2.可支持弯道半径≥125m
3.最大探测距离≥150m
4.平路巡航控制精度≤±1 km/h（车速≥20km/h；坡度≤1%）
5.坡路巡航控制精度≤±3km/h（车速≥20km/h；坡度≤10%）
6.直道识别静止车辆并制动为零的最大车速80km/h"
D1-F3-2,ACC-智能限速,自车在巡航时，感知或者导航地图等输入前方交通限速信息，则系统应能提前进行减速，同时应能保证相应舒适性。对于车道前方较晚识别的限速标识，当识别时，在剩余的距离内无法完成减速目标，没有足够的时间减速到限速范围时，系统应及时报警通知驾驶员（如闪烁限速标志）。系统应该在HMI上提供用户配置界面，用于限速开关及限速偏移量的设置。
D1-F4-1,高速LCC（全文ICA改成LCC）,"LCC功能主要基于道路结构认知及定位进行的巡航辅助功能，通过雷达、摄像头等传感器检测车辆前方的车辆、障碍物和车道线等，在此基础上辅助驾驶员控制车辆，保持车辆在当前车道内行驶。功能激活后，系统可同时接管车辆横纵向控制权限，控制转向、油门和制动。在驾驶员设定了导航目的地，且有高精地图的区域，系统可以自动升级到 NCA 功能。当LCC 系统激活时，驾驶员可随时干预车辆横、纵向控制，系统将优先响应驾驶员的控制。
高速LCC功能适用于高速公路、城市快速路等车道线清晰、平直干燥、路况良好的道路。
高速LCC可以支持高速快速路上的智能巡航、拨杆换道、主动避障、风险避让、施工场景通行、驾驶分神监测等子功能。"""
D1-F4-2,城区LCC,"LCC功能主要基于道路结构认知及定位进行的巡航辅助功能，通过雷达、摄像头等传感器检测车辆前方的车辆、障碍物和车道线等，在此基础上辅助驾驶员控制车辆，保持车辆在当前车道内行驶。功能激活后，系统可同时接管车辆横纵向控制权限，控制转向、油门和制动。在驾驶员设定了导航目的地，且有高精地图的区域，系统可以自动升级到 NCA 功能。当LCC 系统激活时，驾驶员可随时干预车辆横、纵向控制，系统将优先响应驾驶员的控制。
城区LCC可以支持城市道路上的智能巡航、主动避障、风险避让、路口通行、施工场景通行、驾驶分神监测等子功能。"
D1-F4-3,城区LCC+,在城区LCC的基础上，增加拨杆换道子功能，并且风险避让、主动避障、路口通行、施工场景通行等子功能进行加强，强化了风险换道、同向/逆向换道避障、标准路口直行（红绿灯路口）、路口拨杆左右转、施工场景换道通行等能力
D1-F5-1,高速NCA,"NCA功能是指驾驶员通过导航地图设定目的地，选择并确定导航路径后，在有高精度地图与定位信息准确的区域，基于导航信息，控制车辆横纵向，实现从出发地到目的地的“点到点”自动驾驶辅助功能。
满足NCA 激活条件时，驾驶员可以手动激活 NCA 或者由 LCC 自动升级至 NCA 功能。当自车驶出高精地图区域或定位失效时，系统自动退出 NCA 。
当NCA 功能激活后，驾驶员可随时干预车辆控制，系统将优先响应驾驶员的控制。
其中，高速场景的 NCA 可以支持高速路的智能巡航、拨杆换道、智能换道、主动避障、风险避让、施工场景通行、ETC收费站通行、驾驶分神监测等子功能。"""
D1-F5-2,城区NCA,"NCA功能是指驾驶员通过导航地图设定目的地，选择并确定导航路径后，在有高精度地图与定位信息准确的区域，基于导航信息，控制车辆横纵向，实现从出发地到目的地的“点到点”自动驾驶辅助功能。
满足NCA 激活条件时，驾驶员可以手动激活 NCA 或者由 LCC 自动升级至 NCA 功能。当自车驶出高精地图区域或定位失效时，系统自动退出 NCA 。
当NCA 功能激活后，驾驶员可随时干预车辆控制，系统将优先响应驾驶员的控制。
其中，城区场景的 NCA 可以支持城区道路下智能巡航、拨杆换道、智能换道、主动避障、风险避让、施工场景通行、路口通行、驾驶分神监测等子功能。"
D1-F5-3,车位到车位NCA,从车位起步，根据导航路线，通过领航功能行驶到指定车位；自动识别抬杆、闸机通行，进入车库，自动泊车入位
D1-F6-1,APA-自动泊车,"车辆低速行驶时，车辆可以自动检测空间和平面的垂直、平行和斜列车位（一个或多个），当检测到可泊车位时，可以向仪表或中控上推送可泊信息。后台可以持续搜索车位（仪表示意左、右候选车位），需要硬开关，在开关打开后，才显示候选车位
- 自车在停车场路口转弯时，路口附近的车位应当正常检出
- 根据车位宽度，在HMI上区分不同优先级推荐，暂定两个优先级：普通车位与狭窄车位，当选中狭窄车位时会有语音提示“车位狭窄，请注意安全”
功能指标：
1.支持识别的库位线类型：不限车位颜色；支持实线、虚线、单线、双线等常见线型，支持T型/矩形/菱形/U形/平行线类型
2.支持水泥、柏油、嵌草砖、普通方砖、漆面等车位
3.支持在低光照场景下的车位检测
4.支持3面路沿，或者由路沿与库位线构成的车位检测
5.支持人驾模式下，车速≤30km/h时，能正常检出车位
6.在自车进行倒车，车速≤30km/h时，能正常检出车位
7.支持自车与目标车位平齐时就释放车位的需求；最迟释放时机：左右后视镜正对停车位就释放
8.在检出车位后系统应当记忆20m内的车位（20m定义为车位中心点与自车后轴中点的距离），对之前检出过，又再次刚刚进入感知视野的车位应立即显示
9.最小垂直与平行空间车位宽度、深度与长度支持达到业界平均水准
10.支持斜列车位角度范围:平面车位30°/45°/60°的典型车位，空间车位30°/45°的典型车位
11.平行空间车位必须带路沿，且最小高度：10cm
12.平面车位（含垂直平面车位和平行平面车位）：符合GB 5768标准
13.车位长度、宽度与深度测量误差达到业界平均水准
14.车位识别率：95%"""
D1-F7-1,APA-RPA远程泊入,"遥控泊入：当车辆低速巡航并找到空车位后，驾驶员在中控界面选择目标车位（当前不支持APP选车位），并将车辆挂入停车挡(用户选择进入RPA泊车，车辆自动进入倒车档)，离开车辆。在车外使用手机或实体钥匙发送泊车指令，控制车辆自动完成泊车操作
- 遥控泊出：驾驶员通过手机APP与车辆蓝牙连接，通过蓝牙实现远程唤醒车辆，并控制车辆自动驶出车位，系统提供可成功泊出的方向供用户选择。
- RPA泊车结束后，双闪或APP报警提示用户泊车结束；
- RPA泊车过程中，用户可以通过手机APP观察泊车过程，并通过按钮暂停/恢复/取消泊车，自动泊车系统根据用户控制信息进行相应的泊车处理，泊车精度要求同APA。
- RPA泊车过程中，若用户通过中控点击暂停/恢复/取消泊车：手机APP和自动泊车系统退出RPA，驾驶员可上车接管泊车，也可上车后通过APA继续自动泊车过程
7.对于未识别出的狭窄车位的泊车，支持用户在车外通过手机APP控制车辆进行泊入/泊出的开始、暂停、恢复、结束等操作，同时手机端向用户展示必要的信息。该应用场景车速应严格受限，保证功能可靠性及安全。"""
D1-F7-2,APA-RPA远程泊出,"遥控泊出：驾驶员通过手机APP与车辆蓝牙连接，通过蓝牙实现远程唤醒车辆，并控制车辆自动驶出车位，系统提供可成功泊出的方向供用户选择。可泊出方向参照APA
- RPA泊出结束后，双闪或APP报警提示用户泊出结束；
- RPA泊出过程中，用户可以通过手机APP观察泊车过程，并通过按钮暂停/恢复/取消泊车，自动泊车系统根据用户控制信息进行相应的泊车处理。
- RPA泊车过程中，若用户通过中控点击暂停/恢复/取消泊车：手机APP和自动泊车系统退出RPA，采用APA控制。驾驶员可上车接管泊车，也可上车后通过APA继续自动泊车过程"
D1-F7-3,RPA直进直出,驾驶员通过手机APP或者实体钥匙与车辆蓝牙连接，通过蓝牙实现远程唤醒车辆或者车辆已经处于启动状态，通过手机APP或实体钥匙控制车辆直线前进、后退。
D1-F7-4,EPA离车泊入,选定车位后，点击中控选择离车泊入，可以直接下车关门，车辆自动泊入选定车位，远离后自动落锁
D1-F8-1,AVP-代客泊车,"系统支持在停车场中（包含地上与地下）自主搜寻车位并在平面车位（垂直、平行车位）泊入，支持车头泊入，支持有固定车位情况下的自学习记忆泊车（包括HZP家庭区域如地库专属车位和地上庭院），以及自动召唤泊出（召唤点提前收藏）。
1.控制车速舒适过减速带、过防火墙门槛（门槛高度≤5cm）。
2.会车时，如果道路空间足够，系统应规划局部路径，控制自车在当前行驶轨迹上向右偏移，保证相互间的横向安全距离≥1m（可标定），同时需要保证自车右侧有足够的安全距离（≥0.5m标定值），避免产生新的风险。空车位不能作为可用的避让行驶空间；弯道场景中不需避让，而是控制车辆减速或停车。
3.自车在巡航过程中，可以实时搜索车位（同APA），并在HMI给出相应显示。
4.支持障碍物绕行、横穿避让。
5.自动识别和通过停车场闸机。
6.支持收藏车位定点泊车，以及区域漫游泊车（即当目标车位被占用后，自车自动遍历园区内道路发现并泊入最近停车位）"""
D1-F8-2,AVP-远程召唤,"系统支持在停车场中（包含地上与地下）自主搜寻车位并在平面车位（垂直、平行车位）泊入，支持车头泊入，支持有固定车位情况下的自学习记忆泊车（包括HZP家庭区域如地库专属车位和地上庭院），以及自动召唤泊出（召唤点提前收藏）。
1.控制车速舒适过减速带、过防火墙门槛（门槛高度≤5cm）。
2.会车时，如果道路空间足够，系统应规划局部路径，控制自车在当前行驶轨迹上向右偏移，保证相互间的横向安全距离≥1m（可标定），同时需要保证自车右侧有足够的安全距离（≥0.5m标定值），避免产生新的风险。空车位不能作为可用的避让行驶空间；弯道场景中不需避让，而是控制车辆减速或停车。
3.自车在巡航过程中，可以实时搜索车位（同APA），并在HMI给出相应显示。
4.支持障碍物绕行、横穿避让。
5.自动识别和通过停车场闸机。
6.支持收藏车位定点泊车，以及区域漫游泊车（即当目标车位被占用后，自车自动遍历园区内道路发现并泊入最近停车位）"
D1-F8-3,VPD-泊车代驾,系统支持在停车场中（仅支持地下车库）自学习记忆泊车路线，或在已有地图的停车场使用该功能。用户下车后可通过手机APP在停车场地图上选择目标车位，车辆可在驾驶员不在车上的情况下，自主选择路线驾驶到目标车位并泊入。若目标车位被占，车辆可自主搜寻附近空车位并泊入。过程中遇到车辆或非机动车、行人可以自主跟车、刹停或绕行避障。也支持用户通过手机APP远程召唤车辆，车辆可在车上无人的情况下自主驾驶到地图上指定的任意地点。泊车代驾或召唤的全程需用户通过手机APP远程视频监控，通过手机可随时暂停或退出功能，若遇到无法解决的问题，可能要求用户现场救场。
D1-F9-1,全景影像-AVM,在低速泊车时，通过摄像头感知采集周边的环境信息，并通过中控屏幕显示全景影像。
D1-F9-2,泊车辅助-PDC,在低速泊车时，通过超声波雷达探测障碍物并进行报警。
D1-F9-3,倒车循迹,车辆记录已经行驶过的路段（最长50m) ，开启功能后车辆倒车原路返回到起始位置
D1-F9-4,透明底盘,"底盘透明作为一种增强现实技术，在大屏上看到的“透明底盘”画面由车辆周围的360°实时影像与缓存的历史影像帧在车底位置处进行拼接,需要做到车辆运动轨迹的精准预测并将车辆运动准确映射到全景图像上的像素运动,以实现车底图像的准确填充。"
D1-F10-1,智驾系统制冷,通过制冷对智驾系统温度进行调节，使其维持在适宜温度范围内。
D1-F10-2,摄像头清洗,通过洗涤装置对车辆后鱼眼摄像头清洗
D1-F10-3,方向盘脱手检测,接收方向盘上脱手信号，结合智驾当前功能作相应处理及告警
D2-F1-1,广播/电台,支持收听AM/FM/无线电广播和在线电台播放
D2-F1-1-1,FM/AM,"本地FM/AM播放功能；
增加5级描述：满足电台搜索、频道选择、静音、电台存储、自动搜存、收藏等基本功能和显示要求；支持方向盘控制（上/下电台选择、音量控制、静音）；支持语音控制；支持卡片式播放显示和控制（播放/暂停）；支持音量自适应调节：
      场景1：电台效果不好或噪音大时，主动降低音量，如进入隧道后杂音；
      场景2：车速增加时，自动增益控制音量提升（同步到其它音频播放）；
FM立体声显示"""
D2-F1-1-2,网络电台,"在线电台播放、收藏、检索、订阅等功能。引入三方生态（喜马拉雅等），以三方生态能力为准，座舱提供系统能力
增加5级描述：支持方向盘控制（上/下电台选择、音量控制、静音）；支持语音控制；支持卡片式播放显示和控制（播放/暂停）；"""
D2-F1-2,多媒体音/视频/图片,"多媒体文件播放，包含播放本地或在线的音频，视频，图片等；
支持不同播放界面源通道切换（如网络视频播放界面可以快速转换到本地音频播放界面）"""
D2-F1-2-1,音频播放,"本地音频播放功能
增加5级描述：满足曲目选择、曲目列表、检索、播放/暂停、ID3信息（V2）、进度显示/控制等要求；
支持播放模式选择（单曲循环、全部喜欢、随机播放）；
支持断点记忆；
支持卡片式播放显示和控制（播放/暂停）；
支持文件格式（需要被列举）；
支持方向盘控制（上/下曲选择、、音量控制、暂停）
文件夹显示
""""支持音量自适应调节：
      场景1：电台效果不好或噪音大时，主动降低音量，如进入隧道后杂音；
      场景2：车速增加时，自动增益控制音量提升（同步到其它音频播放"""""""
D2-F1-2-2,视频播放,"本地视频播放功能
增加5级描述：满足曲目选择、检索、播放/暂停、进度显示/控制等要求；
支持断点记忆；
支持全屏播放；
支持窗口播放显示和控制（播放/暂停/全屏）；
支持文件格式（需要被列举）
支持方向盘控制（上/下曲选择、音量控制、暂停）"""
