id,父级功能,功能名称,功能说明与用户视角,hierarchy_level
D1-F11,D1,动力电池管理,监控电池电压、温度和健康状态；用户关心续航、充电速度与安全性。功能作用：平衡动力电池管理温度与寿命，提高续航；工作场景：严寒启动、高温停车、急加速放电；常见故障表现：SOC异常、充电缓慢、无法充电；用户抱怨：“续航掉得快”,2
D1-F12,D1,充电管理,管理车载充电状态与策略；用户评价充电速度与便利性。功能作用：监控充电管理状态并管理充放电安全；工作场景：家用慢充、高温停车、严寒启动；常见故障表现：高压故障、热失控警告、无法充电；用户抱怨：“续航掉得快”,2
D1-F13,D1,辅助供电,为车载电气系统供电；用户不易察觉，影响整体稳定性。功能作用：监控辅助供电状态并管理充放电安全；工作场景：快速充电、急加速放电、高温停车；常见故障表现：高压故障、充电缓慢、SOC异常；用户抱怨：“充电太慢”,2
D1-F14,D1,外接充放电管理,实现对外供电或接收外部电能；用户关注能否方便接驳家电/充电桩。功能作用：协调外接充电与车辆用电，保障外接充放电管理安全；工作场景：家用慢充、严寒启动、高温停车；常见故障表现：热失控警告、高压故障、无法充电；用户抱怨：“续航掉得快”,2
D1-F15,D1,高压附件电能管理,管理高压附件如空调压缩机；用户关注空调强度和耗电表现。功能作用：协调外接充电与车辆用电，保障高压附件电能管理安全；工作场景：家用慢充、严寒启动、高温停车；常见故障表现：热失控警告、高压故障、SOC异常；用户抱怨：“续航掉得快”,2
D1-F16,D1,电动车辆再生制动控制,在制动时回收能量；用户评价刹车脚感是否自然。功能作用：协调电动车辆再生制动控制与能量回收，带来平顺刹车体验；工作场景：下长坡、湿滑路面、城市跟车；常见故障表现：制动灯常亮、踏板变软、制动异响；用户抱怨：“制动力忽强忽弱”,2
D1-F17,D1,智能能量管理,协调整车能耗策略；用户关注续航、油耗是否合理。功能作用：按需供电减少浪费（智能能量管理）；工作场景：拥堵市区、长途自驾、极端温度；常见故障表现：续航估算不准、系统报错、能量分配异常；用户抱怨：“里程不准”,2
D1-F18,D1,用户设置预测续航里程,根据驾驶习惯预估里程；用户评价预估是否准确。功能作用：负责用户设置预测续航里程正常工作与用户体验；工作场景：日常驾驶、长途出行、极端天气；常见故障表现：误报警、指示灯点亮、响应延迟；用户抱怨：“体验很差”,2
D1-F19,D1,按需供给油泵控制,提供高效润滑以降低能耗；用户通常不直接感知，但可提升节能性。功能作用：负责按需供给油泵控制正常工作与用户体验；工作场景：城市通勤、极端天气、长途出行；常见故障表现：误报警、响应延迟、指示灯点亮；用户抱怨：“老是报警”,2
D1-F20,D1,高压上下电管理,含上下电控制；控制高压系统上电/下电流程；用户评价启动是否平顺、安全是否有保障。功能作用：平衡高压上下电管理温度与寿命，提高续航；工作场景：高温停车、严寒启动、急加速放电；常见故障表现：充电缓慢、SOC异常、无法充电；用户抱怨：“里程乱跳”,2
D1-F21,D1,高压安全监控,实时监测高压状态避免事故；用户关心安全性，通常看不到该功能但很关键。功能作用：监控高压安全监控状态并管理充放电安全；工作场景：家用慢充、高温停车、快速充电；常见故障表现：充电缓慢、热失控警告、高压故障；用户抱怨：“充电太慢”,2
D1-F22,D1,动力域人机交互,提供仪表能量显示/驾驶模式切换；用户评价界面是否直观、操作是否方便。功能作用：支持语音触控提升安全（动力域人机交互）；工作场景：行车查看仪表、播放音乐、设置导航；常见故障表现：语音识别失败、触控无响应、信息错误；用户抱怨：“屏幕又死机”,2
D1-F23,D1,故障管理,故障检测与报警机制；用户关注报警是否及时且准确。功能作用：负责故障管理正常工作与用户体验；工作场景：极端天气、长途出行、日常驾驶；常见故障表现：误报警、指示灯点亮、响应延迟；用户抱怨：“总是不好用”,2
D1-F24,D1,增程管理,控制增程器启停；用户关注噪音控制、增程平顺性。功能作用：协调增程管理与传动系统，提供即时驱动；工作场景：拥堵蠕行、动能回收、高速超车；常见故障表现：无法启动车辆、动力间歇、警告灯点亮；用户抱怨：“起步肉”,2
D1-F25,D1,四轮驱动系统,协调四轮扭矩输出；用户评价抓地性能、越野能力。功能作用：协调四轮驱动系统与传动系统，提供即时驱动；工作场景：爬坡、动能回收、高速超车；常见故障表现：加速迟滞、动力间歇、无法启动车辆；用户抱怨：“加速像船”,2
D1-F26,D1,动力总成集成系统,融合电机、发动机、变速器等部件；用户关心整体驾驶体验和油耗。功能作用：负责动力总成集成系统正常工作与用户体验；工作场景：日常驾驶、长途出行、城市通勤；常见故障表现：误报警、响应延迟、功能失效；用户抱怨：“反应太慢”,2
D1-F27,D1,动力套件,涵盖动力总成子系统总成；用户评价动力响应和维修成本。功能作用：负责动力套件正常工作与用户体验；工作场景：日常驾驶、城市通勤、长途出行；常见故障表现：误报警、功能失效、指示灯点亮；用户抱怨：“总是不好用”,2
D1-F28,D1,变速箱电子泵控制,提供变速箱冷却润滑；用户较难察觉但关乎可靠性。功能作用：管理变速箱电子泵控制逻辑优化油耗；工作场景：高速换挡、山路低速、起步；常见故障表现：换挡冲击、无法入档、打滑；用户抱怨：“换挡顿挫”,2
D1-F29,D1,换挡控制,实现平顺的换挡体验；用户评价是否顿挫、响应是否及时。功能作用：换挡控制电子泵提供液压保障；工作场景：倒车、高速换挡、起步；常见故障表现：打滑、无法入档、换挡冲击；用户抱怨：“变速箱异响”,2
D1-F30,D1,挡位管理,管理档位选择逻辑；用户关注换挡体验与操控一致性。功能作用：控制挡位管理换挡执行机构，确保平顺；工作场景：起步、高速换挡、倒车；常见故障表现：换挡冲击、无法入档、打滑；用户抱怨：“进不了档”,2
D1-F31,D1,车速辅助控制系统,支持坡道起步、限速等；用户关注是否智能与实用性。功能作用：负责车速辅助控制系统正常工作与用户体验；工作场景：日常驾驶、城市通勤、长途出行；常见故障表现：功能失效、指示灯点亮、误报警；用户抱怨：“老是报警”,2
D1-F32,D1,电源管理模块（PDU）,控制高压电的分配与保护；分配与控制高压电；用户无法直接感知，但对安全性非常关键。功能作用：平衡电源管理模块（PDU）温度与寿命，提高续航；工作场景：快速充电、急加速放电、严寒启动；常见故障表现：无法充电、SOC异常、充电缓慢；用户抱怨：“里程乱跳”,2
D1-F33,D1,电机状态监测与故障诊断,增强健康管理；识别电机健康状态与异常；用户关注系统是否“能提前预警”。功能作用：精准控制电机状态监测与故障诊断扭矩与转速，实现平顺动力；工作场景：高速超车、爬坡、起步加速；常见故障表现：警告灯点亮、扭矩突增、无法启动车辆；用户抱怨：“踩电门没反应”,2
D1-F34,D1,制动能量回收管理（高级）,与协调制动配合；与主制动系统协调优化能量回收；用户评价刹车是否线性、回馈是否自然。功能作用：提供制动能量回收管理（高级）减速保持，确保行车安全；工作场景：城市跟车、驻车、湿滑路面；常见故障表现：制动异响、制动距离延长、制动力不足；用户抱怨：“刹车吱吱响”,2
D1-F35,D1,车辆模式切换控制,EV/HEV/SPORT等；提供驾驶模式如EV/HEV/Sport；用户评价是否有驾驶乐趣、是否节能。功能作用：根据车辆模式切换控制切换动力与底盘；工作场景：高速通勤、雪地低附着、山路运动；常见故障表现：无法切换、动力响应不符、模式灯异常；用户抱怨：“运动模式进不去”,2
D1-F36,D1,冷却系统控制,电池/电机/IGBT散热；管理电机、IGBT、电池热量；用户关心是否过热与空调性能。功能作用：控制冷却系统控制温度湿度，保障舒适与除雾；工作场景：长途高负荷、夏季制冷、电池快充温控；常见故障表现：水温警告、异味、风量忽变；用户抱怨：“车里有味”,2
D2-F1,D2,制动踏板位置监测,实时监测驾驶员踩踏制动踏板的深度；用户评价响应是否灵敏、是否线性。功能作用：控制制动踏板位置监测液压与踏板感，提升制动效率；工作场景：下长坡、驻车、城市跟车；常见故障表现：制动异响、制动距离延长、制动力不足；用户抱怨：“刹不住”,2
D2-F2,D2,制动控制,控制整车制动系统的执行与协调；用户关注刹车距离、脚感和制动平顺性。功能作用：协调制动控制与能量回收，带来平顺刹车体验；工作场景：下长坡、城市跟车、紧急制动；常见故障表现：制动异响、制动距离延长、制动灯常亮；用户抱怨：“刹不住”,2
D2-F3,D2,电动助力转向,通过电机提供转向助力；用户评价方向盘是否轻盈、回正是否自然。功能作用：实现电动助力转向控制，提高低速灵活与高速稳定；工作场景：弯道行驶、并线超车、高速巡航；常见故障表现：助力失效、异响、方向盘抖动；用户抱怨：“打方向嘎嘎响”,2
D2-F4,D2,电子驻车制动,通过按钮或自动方式控制驻车刹车；用户关注驻车是否方便、是否可靠。功能作用：协调电子驻车制动与能量回收，带来平顺刹车体验；工作场景：下长坡、紧急制动、湿滑路面；常见故障表现：制动异响、制动灯常亮、制动力不足；用户抱怨：“刹车吱吱响”,2
D2-F5,D2,主动悬架控制系统,根据路况调节悬架软硬；用户关注舒适性与操控稳定性。功能作用：调节主动悬架控制系统阻尼与高度，兼顾舒适操控；工作场景：坑洼路面、紧急制动、山路弯道；常见故障表现：异响、颠簸感强、侧倾大；用户抱怨：“太颠了”,2
D2-F6,D2,加油管理系统,辅助识别油量状态和加油行为；用户关注油量提示是否准确。功能作用：负责加油管理系统正常工作与用户体验；工作场景：城市通勤、日常驾驶、极端天气；常见故障表现：功能失效、误报警、指示灯点亮；用户抱怨：“反应太慢”,2
D2-F7,D2,轮胎压力监测,实时监测轮胎胎压状态；用户关注是否及时报警、是否准确。功能作用：轮胎压力监测实时监测胎压与温度；工作场景：长途旅行、冬季低温、恶劣道路；常见故障表现：误报警、警告灯常亮、传感器失效；用户抱怨：“一直提示补气”,2
D2-F8,D2,驾驶模式控制,切换经济/运动/舒适等驾驶模式；用户评价模式是否实用、是否有明显差异。功能作用：预设多种驾驶模式控制策略适应场景；工作场景：城市拥堵、山路运动、高速通勤；常见故障表现：模式灯异常、动力响应不符、无法切换；用户抱怨：“经济模式太拖”,2
D2-F9,D2,电子液压制动助力系统,电子控制替代传统真空助力；用户关注刹车是否省力、稳定性如何。功能作用：提供电子液压制动助力系统减速保持，确保行车安全；工作场景：紧急制动、城市跟车、湿滑路面；常见故障表现：制动异响、制动力不足、制动灯常亮；用户抱怨：“刹车吱吱响”,2
D2-F10,D2,自适应悬架,根据车辆状态自动调整悬架高度和刚度；用户评价舒适性和操控性。功能作用：主动抑制车身俯仰，通过自适应悬架提升平稳性；工作场景：高速并线、山路弯道、坑洼路面；常见故障表现：颠簸感强、侧倾大、异响；用户抱怨：“太颠了”,2
D2-F11,D2,后轮转向,在低速或高速下调整后轮转角；用户评价转弯半径是否变小、操控是否灵活。功能作用：实现后轮转向控制，提高低速灵活与高速稳定；工作场景：低速停车、弯道行驶、并线超车；常见故障表现：方向盘抖动、异响、方向偏移；用户抱怨：“打方向嘎嘎响”,2
D2-F12,D2,行车制动控制,车辆在行驶状态下的主制动系统控制；用户关注刹车是否线性、是否可靠。功能作用：提供行车制动控制减速保持，确保行车安全；工作场景：下长坡、湿滑路面、城市跟车；常见故障表现：制动异响、制动力不足、制动距离延长；用户抱怨：“刹车吱吱响”,2
D2-F13,D2,驻车制动控制,驻车状态下提供车辆静止保持力；用户评价坡道停车是否安全。功能作用：控制驻车制动控制液压与踏板感，提升制动效率；工作场景：紧急制动、湿滑路面、城市跟车；常见故障表现：制动力不足、踏板变软、制动灯常亮；用户抱怨：“制动力忽强忽弱”,2
D2-F14,D2,转向控制,整车的转向系统管理与执行；用户关注操控精准度与反馈感。功能作用：调节转向控制力矩，提升操控与舒适；工作场景：弯道行驶、高速巡航、低速停车；常见故障表现：异响、方向盘抖动、助力失效；用户抱怨：“方向盘很沉”,2
D3-F1,D3,外灯控制,控制车辆前后外部照明设备；用户评价照明亮度、自动化水平与迎宾效果。功能作用：保证外灯控制安全可靠运行；工作场景：低速拥堵、上车/下车、夜间使用；常见故障表现：无法启闭、异响、运行卡滞；用户抱怨：“老是异响”,2
D3-F2,D3,内灯控制,管理车内照明设备开关与亮度；用户关注照明氛围与操作便捷性。功能作用：控制内灯控制启闭与保护；工作场景：恶劣天气、夜间使用、低速拥堵；常见故障表现：运行卡滞、异响、无法启闭；用户抱怨：“卡住打不开”,2
D3-F3,D3,雨刮洗涤控制,控制雨刮器速度及清洗液喷洒；用户评价雨天视野清晰度与雨刮静音性。功能作用：控制雨刮洗涤控制启闭与保护；工作场景：上车/下车、恶劣天气、夜间使用；常见故障表现：异响、故障灯亮、运行卡滞；用户抱怨：“卡住打不开”,2
D3-F4,D3,天窗控制,控制天窗开启、关闭与通风功能；用户关注开启是否平稳、是否漏水。功能作用：控制天窗控制启闭与保护；工作场景：恶劣天气、夜间使用、上车/下车；常见故障表现：故障灯亮、无法启闭、运行卡滞；用户抱怨：“老是异响”,2
D3-F5,D3,电动窗控制,控制车窗升降功能；用户关注升降速度、是否有防夹功能。功能作用：负责电动窗控制正常工作与用户体验；工作场景：极端天气、日常驾驶、长途出行；常见故障表现：响应延迟、误报警、功能失效；用户抱怨：“总是不好用”,2
D3-F6,D3,后视镜控制,控制外后视镜调节、折叠与加热功能；用户评价视野调整是否便捷。功能作用：提供后视镜控制人性化体验；工作场景：上车/下车、低速拥堵、恶劣天气；常见故障表现：运行卡滞、异响、无法启闭；用户抱怨：“用起来太慢”,2
D3-F7,D3,电动座椅控制,座椅电动调节、记忆与通风/加热控制；用户关注舒适性与便利性。功能作用：控制电动座椅控制启闭与保护；工作场景：低速拥堵、上车/下车、恶劣天气；常见故障表现：运行卡滞、故障灯亮、无法启闭；用户抱怨：“卡住打不开”,2
D3-F8,D3,电动尾门控制,控制尾门自动开关；用户关注开关顺畅性和感应准确度。功能作用：控制电动尾门控制启闭与保护；工作场景：恶劣天气、上车/下车、低速拥堵；常见故障表现：异响、运行卡滞、无法启闭；用户抱怨：“卡住打不开”,2
D3-F9,D3,电动侧门控制,侧滑门/对开门的自动开关控制；用户关注儿童上下车是否方便。功能作用：提供电动侧门控制人性化体验；工作场景：上车/下车、低速拥堵、恶劣天气；常见故障表现：异响、无法启闭、运行卡滞；用户抱怨：“卡住打不开”,2
D3-F10,D3,电动迎宾踏板控制,在上下车时自动伸缩迎宾踏板；用户关注是否高级、是否稳定。功能作用：提供电动迎宾踏板控制减速保持，确保行车安全；工作场景：城市跟车、紧急制动、下长坡；常见故障表现：制动距离延长、制动灯常亮、制动异响；用户抱怨：“制动力忽强忽弱”,2
D3-F11,D3,方向盘控制,包括电动调节、加热功能；用户关注方向盘舒适度与调节便利性。功能作用：负责方向盘控制正常工作与用户体验；工作场景：长途出行、日常驾驶、城市通勤；常见故障表现：响应延迟、功能失效、误报警；用户抱怨：“反应太慢”,2
D3-F12,D3,电动敞篷控制,可开闭式敞篷机构；用户关注敞篷开关是否顺畅、密封性是否良好。功能作用：负责电动敞篷控制正常工作与用户体验；工作场景：长途出行、城市通勤、日常驾驶；常见故障表现：功能失效、误报警、响应延迟；用户抱怨：“体验很差”,2
D3-F13,D3,被动安全管理,包括安全气囊、碰撞信号等控制；用户关注车辆碰撞保护能力。功能作用：负责被动安全管理正常工作与用户体验；工作场景：城市通勤、长途出行、极端天气；常见故障表现：指示灯点亮、响应延迟、功能失效；用户抱怨：“体验很差”,2
D3-F14,D3,座椅加热控制,提供座椅加热功能；用户评价是否快速加热与舒适性。功能作用：提供座椅加热控制人性化体验；工作场景：恶劣天气、夜间使用、低速拥堵；常见故障表现：无法启闭、异响、运行卡滞；用户抱怨：“用起来太慢”,2
D3-F15,D3,电动车门控制,包括滑动门/自动门逻辑；用户评价控制灵敏性和安全防夹功能。功能作用：提供电动车门控制人性化体验；工作场景：恶劣天气、上车/下车、夜间使用；常见故障表现：无法启闭、运行卡滞、异响；用户抱怨：“老是异响”,2
D3-F16,D3,电动转向柱控制,电动调节方向盘位置；用户关注是否易于操作与是否记忆设定。功能作用：根据车速调整电动转向柱控制助力，实现轻便稳定；工作场景：并线超车、高速巡航、低速停车；常见故障表现：方向盘抖动、异响、助力失效；用户抱怨：“打方向嘎嘎响”,2
D3-F17,D3,门锁控制,控制中控锁、儿童锁功能；用户关注是否可靠、是否智能联动。功能作用：保证门锁控制安全可靠运行；工作场景：低速拥堵、上车/下车、恶劣天气；常见故障表现：故障灯亮、无法启闭、异响；用户抱怨：“老是异响”,2
D3-F18,D3,胎压监测系统,监测轮胎压力变化并报警；用户关注是否及时准确。功能作用：胎压监测系统实时监测胎压与温度；工作场景：冬季低温、恶劣道路、长途旅行；常见故障表现：误报警、传感器失效、胎压0；用户抱怨：“胎压灯老亮”,2
D3-F19,D3,低压能量管理,管理12V电池及低压用电设备；用户关注电池耐用性和启停可靠性。功能作用：全局优化低压能量管理流提升效率；工作场景：激烈驾驶、极端温度、长途自驾；常见故障表现：能量分配异常、系统报错、续航估算不准；用户抱怨：“续航掉太快”,2
D3-F20,D3,车辆关机及重启,系统断电、唤醒与重启机制；用户评价系统稳定性与启动速度。功能作用：负责车辆关机及重启正常工作与用户体验；工作场景：日常驾驶、长途出行、极端天气；常见故障表现：误报警、响应延迟、功能失效；用户抱怨：“反应太慢”,2
D3-F21,D3,附件系统,如点烟器、电源口等；用户关注扩展功能是否足够便利。功能作用：负责附件系统正常工作与用户体验；工作场景：极端天气、长途出行、日常驾驶；常见故障表现：指示灯点亮、功能失效、误报警；用户抱怨：“体验很差”,2
D3-F22,D3,抬头显示控制,将信息投影到前挡玻璃；用户评价是否清晰、内容是否丰富。功能作用：展示车辆信息并接收指令（抬头显示控制）；工作场景：行车查看仪表、播放音乐、故障提示；常见故障表现：信息错误、语音识别失败、触控无响应；用户抱怨：“语音听不懂”,2
D3-F23,D3,数字灯光控制,智能矩阵大灯、投影等新型灯光系统；用户关注炫酷程度与智能功能。功能作用：控制数字灯光控制启闭与保护；工作场景：夜间使用、恶劣天气、低速拥堵；常见故障表现：运行卡滞、异响、无法启闭；用户抱怨：“老是异响”,2
D3-F24,D3,雨刮与洗涤系统,雨刮整体协调控制；用户关注雨天可视性和感应控制是否智能。功能作用：提供雨刮与洗涤系统人性化体验；工作场景：恶劣天气、夜间使用、低速拥堵；常见故障表现：异响、无法启闭、运行卡滞；用户抱怨：“用起来太慢”,2
D3-F25,D3,防盗系统,防止车辆被非法启动或打开；用户关注车辆安全性与报警是否灵敏。功能作用：控制防盗系统启闭与保护；工作场景：低速拥堵、恶劣天气、上车/下车；常见故障表现：异响、故障灯亮、无法启闭；用户抱怨：“老是异响”,2
D3-F26,D3,车辆入侵检测,检测非法开门或车内移动报警；用户关注是否能起到震慑和保护作用。功能作用：负责车辆入侵检测正常工作与用户体验；工作场景：极端天气、长途出行、城市通勤；常见故障表现：功能失效、指示灯点亮、响应延迟；用户抱怨：“老是报警”,2
D4-F1,D4,音响娱乐系统,提供车内高品质音频播放和媒体娱乐功能；用户评价音质效果、音响沉浸度和操作便捷性。功能作用：提供音响娱乐系统娱乐信息服务；工作场景：日常通勤、停车休息、手机互联；常见故障表现：声音失真、连网失败、卡顿；用户抱怨：“导航掉线”,2
D4-F2,D4,摄像头智能感知,利用座舱内外摄像头进行人/物识别与行为分析；用户关注误检率、功能可靠性与隐私保护。功能作用：融合感知数据提升安全（摄像头智能感知）；工作场景：夜间驾驶、拥堵跟车、高速巡航；常见故障表现：摄像头被挡、误报警、突然退出；用户抱怨：“自动驾驶乱响”,2
D4-F3,D4,导航,提供实时路径规划和位置服务；用户评价路径准确度、更新及时性与操作易用性。功能作用：集成语音导航与联网功能（导航）；工作场景：长途旅行、停车休息、手机互联；常见故障表现：连网失败、声音失真、卡顿；用户抱怨：“声音杂”,2
D4-F4,D4,智能座舱信息平台,整合车辆与第三方数据为座舱提供信息服务的中台；用户关注信息丰富度和响应速度。功能作用：提供智能座舱信息平台娱乐信息服务；工作场景：停车休息、日常通勤、长途旅行；常见故障表现：卡顿、闪退、声音失真；用户抱怨：“声音杂”,2
D4-F5,D4,人机交互显示及管理,多屏联动显示仪表、中控、HUD等，支持触控与手势操作；用户评价界面友好度与交互流畅性。功能作用：支持语音触控提升安全（人机交互显示及管理）；工作场景：行车查看仪表、故障提示、设置导航；常见故障表现：语音识别失败、触控无响应、黑屏；用户抱怨：“点不动”,2
D4-F6,D4,电子外后视镜,以摄像头+屏幕替代传统后视镜；用户关注视野清晰度、夜间效果与安全性。功能作用：提供电子外后视镜人性化体验；工作场景：夜间使用、低速拥堵、恶劣天气；常见故障表现：异响、运行卡滞、无法启闭；用户抱怨：“卡住打不开”,2
D4-F7,D4,Avatar数字助手,具人格化形象的语音/视觉助手；用户评价语音识别精度和互动趣味性。功能作用：集成语音导航与联网功能（Avatar数字助手）；工作场景：停车休息、长途旅行、手机互联；常见故障表现：闪退、声音失真、连网失败；用户抱怨：“导航掉线”,2
D4-F8,D4,SmartIsland多屏协同,在中控等区域实现岛屿式多屏信息呈现；用户关注信息阅读舒适度与可定制性。功能作用：SmartIsland多屏协同多屏协同提升交互；工作场景：长途旅行、日常通勤、手机互联；常见故障表现：声音失真、闪退、连网失败；用户抱怨：“卡得要命”,2
D4-F9,D4,驾驶信息显示,实时显示车速、电量等关键驾驶参数（含仪表）；用户关注信息完整性与可读性。功能作用：展示车辆信息并接收指令（驾驶信息显示）；工作场景：播放音乐、故障提示、行车查看仪表；常见故障表现：语音识别失败、触控无响应、黑屏；用户抱怨：“点不动”,2
D4-F10,D4,车载游戏,利用座舱屏幕和控制器提供游戏娱乐；用户评价游戏种类与流畅度。功能作用：车载游戏多屏协同提升交互；工作场景：停车休息、手机互联、日常通勤；常见故障表现：闪退、声音失真、卡顿；用户抱怨：“声音杂”,2
D4-F11,D4,连接与外设,支持蓝牙、Wi-Fi、USB等外设连接；用户关注连接稳定性和兼容性。功能作用：负责连接与外设正常工作与用户体验；工作场景：长途出行、日常驾驶、极端天气；常见故障表现：功能失效、误报警、响应延迟；用户抱怨：“老是报警”,2
D4-F12,D4,辅助驾驶,提供ADAS状态提示和接管交互；用户关注提示是否清晰、交互是否顺手。功能作用：提供自动变道跟车功能（辅助驾驶）；工作场景：拥堵跟车、夜间驾驶、城市环路；常见故障表现：摄像头被挡、功能不可用、误报警；用户抱怨：“突然中断”,2
D4-F13,D4,语音交互,通过语音命令控制车辆和应用；用户关注识别准确率与响应速度。功能作用：支持语音触控提升安全（语音交互）；工作场景：设置导航、播放音乐、故障提示；常见故障表现：信息错误、触控无响应、黑屏；用户抱怨：“语音听不懂”,2
D4-F14,D4,设置与控制,集中管理车辆个性化设置与系统控制；用户关注菜单逻辑和易用性。功能作用：负责设置与控制正常工作与用户体验；工作场景：日常驾驶、极端天气、长途出行；常见故障表现：指示灯点亮、响应延迟、功能失效；用户抱怨：“老是报警”,2
D4-F15,D4,生态应用,车载应用商店、第三方App生态；用户评价应用数量与质量。功能作用：负责生态应用正常工作与用户体验；工作场景：极端天气、城市通勤、长途出行；常见故障表现：响应延迟、指示灯点亮、功能失效；用户抱怨：“总是不好用”,2
D4-F16,D4,原生应用,车厂自研或预装的常用功能应用；用户关注稳定性和更新频率。功能作用：负责原生应用正常工作与用户体验；工作场景：极端天气、长途出行、城市通勤；常见故障表现：误报警、响应延迟、指示灯点亮；用户抱怨：“体验很差”,2
